NAME,CONTACT DETAILS,DEPARTMENT
Prof.Suman Kapur,universe.bits-pilani.ac.in/hyderabad/sumankapur/profile,Biology
Prof.Vidya Rajesh,universe.bits-pilani.ac.in/hyderabad/vidyarajesh/profile,Biology
Prof.Ramakrishna Vadrevu,universe.bits-pilani.ac.in/hyderabad/ramakrishnavadrevu/profile,Biology
Dr.Jayati Ray dutta,universe.bits-pilani.ac.in/hyderabad/jayatiraydutta/profile,Biology
Dr.Kumar Pranav Narayan,universe.bits-pilani.ac.in/hyderabad/kumarpranavnarayan/profile,Biology
Dr.P.Sankar Ganesh,universe.bits-pilani.ac.in/hyderabad/psankarganesh/profile,Biology
Dr.Sridev Mohapatra,universe.bits-pilani.ac.in/hyderabad/mohapatra/Profile,Biology
Dr.Naga Mohan Kommu,universe.bits-pilani.ac.in/hyderabad/nagamohan/Profile,Biology
Dr.Debashree Bandyopadhyay,universe.bits-pilani.ac.in/hyderabad/debashree/Profile,Biology
Dr. Vivek Sharma,universe.bits-pilani.ac.in/hyderabad/viveksharma/Profile,Biology
Dr. Trinath Jamma,universe.bits-pilani.ac.in/hyderabad/trinathjamma/Profile,Biology
Dr. Gireesha T Mohannath,universe.bits-pilani.ac.in/hyderabad/gireesha/Profile,Biology
Dr. Ruchi Jain Dey ,universe.bits-pilani.ac.in/hyderabad/ruchijaindey/Profile,Biology
Dr. Piyush Khandelia,universe.bits-pilani.ac.in/hyderabad/piyushkhandelia/Profile,Biology
Dr. Pragya Komal ,universe.bits-pilani.ac.in/hyderabad/pragyakomal/Profile,Biology
Prof.I.Sreedhar,universe.bits-pilani.ac.in/Hyderabad/sreedhar/Profile,Chemical
Dr.Purnima,universe.bits-pilani.ac.in/Hyderabad/purnima/Profile,Chemical
Dr.Balaji Krishnamurthy,universe.bits-pilani.ac.in/Hyderabad/balajikrishnamurthy/Profile,Chemical
Dr.A.Ramesh Babu,universe.bits-pilani.ac.in/Hyderabad/rameshbabu/Profile,Chemical
Prof.Srikanta Dinda,universe.bits-pilani.ac.in/Hyderabad/srikantadinda/Profile,Chemical
Dr.Karthik Chetan V,universe.bits-pilani.ac.in/hyderabad/karthik/Profile,Chemical
Dr.Asma Ahmed,universe.bits-pilani.ac.in/hyderabad/asmaahmed/profile,Chemical
Dr.Vikranth Kumar Surasani,universe.bits-pilani.ac.in/hyderabad/surasani/Profile,Chemical
Ms.Lakshmi Sirisha,universe.bits-pilani.ac.in/hyderabad/sirisha/Profile,Chemical
Prof.G.Sundar,universe.bits-pilani.ac.in/hyderabad/sundar/Profile,Chemical
Prof.N.Rajesh,universe.bits-pilani.ac.in/hyderabad/rajeshn/Profile,Chemical
Prof.K.Sumithra,universe.bits-pilani.ac.in/hyderabad/ksumithra/Profile,Chemical
Prof.K.V.G.Chandrasekhar,universe.bits-pilani.ac.in/hyderabad/kvgchandrasekhar/Profile,Chemical
Prof.R.Krishnan,universe.bits-pilani.ac.in/hyderabad/rkrishnan/Profile,Chemical
Dr.Anupam Bhattacharya,universe.bits-pilani.ac.in/hyderabad/anupambhattacharya/Profile,Chemical
Prof.J.Subbalakshmi,universe.bits-pilani.ac.in/hyderabad/jsubbalakshmi/Profile,Chemical
Dr.Balaji Gopalan,universe.bits-pilani.ac.in/hyderabad/balajigopalan/Profile,Chemical
Prof.Manab Chakravarthy,universe.bits-pilani.ac.in/hyderabad/manabchakravarty/Profile,Chemical
Dr.G.Ramakrishnan,universe.bits-pilani.ac.in/hyderabad/ram/Profile,Chemical
Dr.Subhas Ghosal,universe.bits-pilani.ac.in/hyderabad/subhas/Profile,Chemical
Dr.Amit Nag,universe.bits-pilani.ac.in/hyderabad/amitnag/Profile,Chemical
Dr.Sounak Roy,universe.bits-pilani.ac.in/hyderabad/sounak/Profile,Chemical
Dr.Durba Roy,universe.bits-pilani.ac.in/hyderabad/durba/Profile,Chemical
Dr. Chanchal Chakraborty,universe.bits-pilani.ac.in/hyderabad/chanchalchakraborty/Profile,Chemical
